date,cheese,milk,dulce_leche,eggs,pork,vegetables
Jan-2020,20,300,5,0,1,10
Feb-2020,25,310,3,2,0,12
Mar-2020,28,320,4,5,0,18
Apr-2020,30,290,2,3,0,25
May-2020,35,330,3,6,1,30
Jun-2020,40,400,6,9,2,35
Jul-2020,45,420,8,11,3,40
Aug-2020,50,440,9,12,3,45
Sep-2020,55,460,10,13,4,50
Oct-2020,60,480,12,14,5,55
Nov-2020,65,500,14,16,6,60
Dec-2020,70,530,16,18,6,65
Jan-2021,50,200,8,0,1,20
Feb-2021,45,210,7,0,1,22
Mar-2021,48,250,6,0,2,25
Apr-2021,52,260,7,0,1,30
May-2021,55,280,9,0,2,32
Jun-2021,58,300,10,0,2,35
Jul-2021,60,320,11,0,2,36
Aug-2021,62,360,8,1,2,38
Sep-2021,61,138,18,1,4,30
Oct-2021,74,122,28,2,3,32
Nov-2021,66,213,3,1,4,28
Dec-2021,41,84,5,2,4,25
Jan-2022,56,65,7,4,1,20
Feb-2022,46,60,1,13,1,22
Mar-2022,58,726,0,50,18,26
Apr-2022,51,120,0,21,0,9
May-2022,89,993,26,38,3,214
Jun-2022,118,940,25,36,2,66
Jul-2022,60,773,9,15,1,60
Aug-2022,62,579,5,35,1,7
Sep-2022,18,251,2,9,10,34
Oct-2022,68,1110,16,21,16,40
Nov-2022,84,841,1,10,11,6
Dec-2022,64,587,9,23,12,151
Jan-2023,16,966,5,2,1,5
Feb-2023,43,742,5,3,0,5
Mar-2023,36,644,4,4,2,6
Apr-2023,23,806,6,2,5,10
May-2023,20,495,4,5,14,84
Jun-2023,33,750,29,20,4,49
Jul-2023,60,775,9,15,2,52
Aug-2023,20,558,12,35,1,65
Sep-2023,40,657,10,23,7,32
Oct-2023,71,977,22,27,12,14
Nov-2023,77,754,15,15,7,26
Dec-2023,33,734,10,11,5,35
Jan-2024,40,790,12,12,5,40
Feb-2024,45,810,10,13,6,42
Mar-2024,50,830,13,14,6,45
Apr-2024,48,850,12,16,5,50
May-2024,55,860,15,18,8,60
Jun-2024,60,870,20,20,7,65
Jul-2024,65,880,18,21,8,70
Aug-2024,60,890,16,25,9,75
Sep-2024,62,900,14,22,7,65
Oct-2024,68,910,15,24,8,60
Nov-2024,72,920,13,22,7,62
Dec-2024,75,930,16,20,6,70
